    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -11.90951 -11.88996 -11.86897 -11.83628 -11.80697 -11.77385 -11.71998 -11.67077
 -11.61541 -11.53158 -11.45789 -11.37301 -11.24162 -11.12588 -10.99405 -10.79095
 -10.61071 -10.40307 -10.08576  -9.81973  -9.54043  -9.15930  -8.86268  -8.56165
 -12.06814 -12.05544 -12.04048 -12.01751 -11.99712 -11.97296 -11.93423 -11.89938
 -11.85947 -11.79733 -11.74224 -11.67949 -11.58247 -11.49622 -11.39681 -11.24148
 -11.09815 -10.92436 -10.64969 -10.41411 -10.16134  -9.80984  -9.52331  -9.22228
 -12.25901 -12.25127 -12.24193 -12.22742 -12.21459 -12.19939 -12.17425 -12.15128
 -12.12526 -12.08508 -12.04946 -12.00851 -11.94307 -11.88426 -11.81698 -11.70614
 -11.59681 -11.45960 -11.24281 -11.05576 -10.85069 -10.56886 -10.31090 -10.00987
 -12.37757 -12.37219 -12.36528 -12.35495 -12.34601 -12.33497 -12.31698 -12.30074
 -12.28196 -12.25252 -12.22622 -12.19589 -12.14811 -12.10459 -12.05273 -11.96551
 -11.87777 -11.76612 -11.59592 -11.44997 -11.28513 -11.07380 -10.84836 -10.54733
 -12.49151 -12.48675 -12.48214 -12.47500 -12.46837 -12.46089 -12.44919 -12.43849
 -12.42588 -12.40595 -12.38806 -12.36726 -12.33415 -12.30388 -12.26764 -12.20395
 -12.13823 -12.05543 -11.93501 -11.82994 -11.70543 -11.57401 -11.38744 -11.08641
