    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -29.40416 -29.38394 -29.36095 -29.32621 -29.29570 -29.26021 -29.20392 -29.15332
 -29.09550 -29.00883 -28.93381 -28.84767 -28.71489 -28.59849 -28.46672 -28.26870
 -28.09868 -27.90907 -27.63512 -27.41421 -27.18717 -26.91463 -26.73184 -26.55224
 -29.56245 -29.54822 -29.53160 -29.50731 -29.48611 -29.46040 -29.41963 -29.38319
 -29.34105 -29.27713 -29.22138 -29.15716 -29.05857 -28.97184 -28.87231 -28.72097
 -28.58977 -28.44206 -28.22491 -28.04287 -27.84650 -27.60347 -27.43838 -27.27587
 -29.75121 -29.74250 -29.73298 -29.71737 -29.70306 -29.68704 -29.66083 -29.63694
 -29.61037 -29.56899 -29.53181 -29.48923 -29.42282 -29.36411 -29.29767 -29.19534
 -29.10529 -29.00340 -28.84869 -28.71478 -28.56963 -28.39824 -28.28887 -28.18228
 -29.87091 -29.86559 -29.85835 -29.84689 -29.83691 -29.82507 -29.80632 -29.78947
 -29.76985 -29.73914 -29.71183 -29.68034 -29.63005 -29.58565 -29.53661 -29.46009
 -29.39189 -29.31500 -29.19572 -29.09198 -28.98286 -28.86246 -28.79154 -28.72336
 -29.99744 -29.99309 -29.98705 -29.98069 -29.97599 -29.96778 -29.95414 -29.94292
 -29.93020 -29.90933 -29.89013 -29.86816 -29.83281 -29.80115 -29.76602 -29.71226
 -29.66423 -29.60854 -29.52191 -29.44767 -29.37118 -29.29277 -29.25148 -29.21263
