    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -38.74030 -38.72692 -38.73288 -38.76292 -38.78541 -38.78173 -38.68747 -38.52821
 -38.29503 -37.89948 -37.54678 -37.15892 -36.61427 -36.17965 -35.71905 -35.14423
 -34.77714 -34.43093 -34.00072 -33.69260 -33.39067 -32.99958 -32.70792 -32.41672
 -28.11123 -28.08914 -28.06931 -28.04457 -28.02760 -28.01448 -28.01109 -28.02096
 -28.03618 -28.03238 -27.97056 -27.82298 -27.47816 -27.14762 -26.80263 -26.32659
 -25.97072 -25.63592 -25.21442 -24.90502 -24.60346 -24.21342 -23.92168 -23.63028
 -19.73403 -19.71807 -19.70895 -19.70470 -19.70464 -19.70488 -19.70388 -19.70136
 -19.69706 -19.68998 -19.68348 -19.67349 -19.63788 -19.56066 -19.40799 -19.10210
 -18.81857 -18.51367 -18.11504 -17.83134 -17.56286 -17.21919 -16.96165 -16.70307
 -16.14858 -16.13362 -16.12467 -16.11800 -16.11510 -16.11380 -16.11329 -16.11373
 -16.11506 -16.11501 -16.11227 -16.10611 -16.08255 -16.03999 -15.95890 -15.75464
 -15.52601 -15.25733 -14.90054 -14.65127 -14.41723 -14.11802 -13.89318 -13.66599
 -13.49172 -13.47983 -13.47337 -13.46862 -13.46662 -13.46636 -13.46618 -13.46556
 -13.46506 -13.46372 -13.46172 -13.45824 -13.44590 -13.41994 -13.36424 -13.21146
 -13.02974 -12.80703 -12.51101 -12.30762 -12.11778 -11.87730 -11.69779 -11.51582
