    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 18/07/15
 -34.54030 -34.77690 -35.04157 -35.41540 -35.70709 -36.00285 -36.40000 -36.70248
 -37.00323 -37.40134 -37.70283 -38.00236 -38.39668 -38.69392 -38.98975 -39.38187
 -39.68052 -39.98112 -40.38492 -40.69520 -41.00766 -41.42386 -41.74035 -42.05705
 -31.95415 -32.19328 -32.45801 -32.83368 -33.12806 -33.42421 -33.81892 -34.11787
 -34.41394 -34.80806 -35.11095 -35.41742 -35.83201 -36.15200 -36.47362 -36.89629
 -37.20796 -37.50595 -37.87225 -38.12787 -38.36764 -38.66707 -38.88375 -39.09207
 -29.88756 -30.12933 -30.39673 -30.77243 -31.06555 -31.36297 -31.76094 -32.06453
 -32.36738 -32.75118 -33.01369 -33.23857 -33.46446 -33.58392 -33.66859 -33.74228
 -33.77700 -33.79801 -33.81200 -33.81696 -33.82064 -33.83172 -33.84509 -33.85906
 -29.02024 -29.26319 -29.52919 -29.89706 -30.17210 -30.42769 -30.70596 -30.85987
 -30.96812 -31.05840 -31.09958 -31.12532 -31.14358 -31.14962 -31.15137 -31.15060
 -31.14965 -31.14974 -31.15395 -31.16130 -31.17380 -31.20912 -31.24795 -31.28834
 -28.35334 -28.55937 -28.75319 -28.95818 -29.06587 -29.13802 -29.19384 -29.21599
 -29.22686 -29.23100 -29.23003 -29.22788 -29.22560 -29.22494 -29.22509 -29.22747
 -29.23124 -29.23717 -29.25273 -29.27123 -29.29687 -29.36138 -29.43054 -29.50235
